ID,Name,Genre,Year,Death,MovieLength,KillRate
1,Reservoir Dogs,Drama film/Thriller,1992,11,1.67,7
2,Pulp Fiction,Crime film/Drama film,1994,7,2.97,2
3,Jackie Brown,Thriller/Drama,1997,4,2.57,2
4,Kill Bill vol.1,Crime film/Thriller,2003,62,1.87,33
5,Kill Bill vol.2,Crime film/Thriller ,2004,13,2.3,6
6,Death Proof,Slasher/Thriller,2007,6,2.12,3
7,Inglourious Basterds,Drama film/Action,2009,396,2.55,155
8,DjanGo Unchained,Drama film/Blaxploitation,2012,64,2.75,23
9,The Hateful Eight,Mystery/Crime film,2015,19,3.12,6
